WATERSHED_ID,Date,Precipitation,Evapotranspiration,Water_Balance_delta_S
SWB_00004,01.01.2000,"29,70","8,10","21,60"
SWB_00004,01.02.2000,"16,00","9,90","6,10"
SWB_00004,01.03.2000,"23,90","18,30","5,60"
SWB_00004,01.04.2000,"22,20","22,30","-0,10"
SWB_00004,01.05.2000,"14,60","22,80","-8,20"
SWB_00004,01.06.2000,"11,90","21,90","-10,00"
SWB_00004,01.07.2000,"9,60","19,80","-10,20"
SWB_00004,01.08.2000,"5,30","15,20","-9,90"
SWB_00004,01.09.2000,"5,60","9,50","-3,90"
SWB_00004,01.10.2000,"22,20","10,00","12,20"
SWB_00004,01.11.2000,"19,90","6,60","13,30"
SWB_00004,01.12.2000,"28,50","6,40","22,10"
SWB_00004,01.01.2001,"20,80","6,00","14,80"
SWB_00004,01.02.2001,"20,00","10,50","9,50"
SWB_00004,01.03.2001,"29,40","20,30","9,10"
SWB_00004,01.04.2001,"21,20","22,70","-1,50"
SWB_00004,01.05.2001,"13,90","22,40","-8,50"
SWB_00004,01.06.2001,"8,10","21,10","-13,00"
SWB_00004,01.07.2001,"6,50","20,00","-13,50"
SWB_00004,01.08.2001,"7,30","15,80","-8,50"
SWB_00004,01.09.2001,"2,80","8,90","-6,10"
SWB_00004,01.10.2001,"23,30","10,30","13,00"
SWB_00004,01.11.2001,"21,20","9,20","12,00"
SWB_00004,01.12.2001,"34,40","9,40","25,00"
SWB_00004,01.01.2002,"27,10","8,30","18,80"
SWB_00004,01.02.2002,"42,90","12,40","30,50"
SWB_00004,01.03.2002,"41,30","24,00","17,30"
SWB_00004,01.04.2002,"77,60","33,60","44,00"
SWB_00004,01.05.2002,"35,70","33,80","1,90"
SWB_00004,01.06.2002,"17,40","30,10","-12,70"
SWB_00004,01.07.2002,"8,20","23,50","-15,30"
SWB_00004,01.08.2002,"4,20","18,50","-14,30"
SWB_00004,01.09.2002,"4,80","10,40","-5,60"
SWB_00004,01.10.2002,"4,60","8,50","-3,90"
SWB_00004,01.11.2002,"11,60","6,80","4,80"
SWB_00004,01.12.2002,"42,20","6,70","35,50"
SWB_00004,01.01.2003,"18,90","9,50","9,40"
SWB_00004,01.02.2003,"50,80","12,60","38,20"
SWB_00004,01.03.2003,"68,80","21,80","47,00"
SWB_00004,01.04.2003,"54,60","32,80","21,80"
SWB_00004,01.05.2003,"39,50","38,20","1,30"
SWB_00004,01.06.2003,"16,00","35,10","-19,10"
SWB_00004,01.07.2003,"5,10","27,10","-22,00"
SWB_00004,01.08.2003,"5,20","18,90","-13,70"
SWB_00004,01.09.2003,"5,60","11,30","-5,70"
SWB_00004,01.10.2003,"12,30","11,10","1,20"
SWB_00004,01.11.2003,"39,90","10,80","29,10"
SWB_00004,01.12.2003,"33,30","9,10","24,20"
SWB_00004,01.01.2004,"41,30","10,30","31,00"
SWB_00004,01.02.2004,"25,40","16,00","9,40"
SWB_00004,01.03.2004,"34,90","22,60","12,30"
SWB_00004,01.04.2004,"52,40","29,80","22,60"
SWB_00004,01.05.2004,"27,70","30,20","-2,50"
SWB_00004,01.06.2004,"7,00","23,10","-16,10"
SWB_00004,01.07.2004,"14,30","25,00","-10,70"
SWB_00004,01.08.2004,"4,20","17,80","-13,60"
SWB_00004,01.09.2004,"2,80","10,80","-8,00"
SWB_00004,01.10.2004,"15,50","9,20","6,30"
SWB_00004,01.11.2004,"33,60","10,80","22,80"
SWB_00004,01.12.2004,"51,20","7,90","43,30"
SWB_00004,01.01.2005,"32,80","8,10","24,70"
SWB_00004,01.02.2005,"30,20","9,30","20,90"
SWB_00004,01.03.2005,"47,30","24,70","22,60"
SWB_00004,01.04.2005,"28,40","26,50","1,90"
SWB_00004,01.05.2005,"33,20","28,70","4,50"
SWB_00004,01.06.2005,"15,60","28,80","-13,20"
SWB_00004,01.07.2005,"7,70","25,40","-17,70"
SWB_00004,01.08.2005,"6,90","20,30","-13,40"
SWB_00004,01.09.2005,"2,10","12,40","-10,30"
SWB_00004,01.10.2005,"8,50","7,80","0,70"
SWB_00004,01.11.2005,"19,10","7,20","11,90"
SWB_00004,01.12.2005,"25,10","8,20","16,90"
SWB_00004,01.01.2006,"49,10","6,40","42,70"
SWB_00004,01.02.2006,"40,30","14,70","25,60"
SWB_00004,01.03.2006,"36,00","23,70","12,30"
SWB_00004,01.04.2006,"29,80","27,40","2,40"
SWB_00004,01.05.2006,"13,40","27,40","-14,00"
SWB_00004,01.06.2006,"8,70","24,00","-15,30"
SWB_00004,01.07.2006,"5,70","22,20","-16,50"
SWB_00004,01.08.2006,"4,90","16,50","-11,60"
SWB_00004,01.09.2006,"4,90","11,00","-6,10"
SWB_00004,01.10.2006,"14,80","10,80","4,00"
SWB_00004,01.11.2006,"34,30","9,00","25,30"
SWB_00004,01.12.2006,"23,60","6,00","17,60"
SWB_00004,01.01.2007,"16,60","10,30","6,30"
SWB_00004,01.02.2007,"29,00","11,40","17,60"
SWB_00004,01.03.2007,"65,50","20,70","44,80"
SWB_00004,01.04.2007,"31,30","34,20","-2,90"
SWB_00004,01.05.2007,"25,50","27,40","-1,90"
SWB_00004,01.06.2007,"11,70","24,50","-12,80"
SWB_00004,01.07.2007,"10,20","22,10","-11,90"
SWB_00004,01.08.2007,"3,80","16,90","-13,10"
SWB_00004,01.09.2007,"3,30","10,50","-7,20"
SWB_00004,01.10.2007,"4,90","6,60","-1,70"
SWB_00004,01.11.2007,"13,30","6,70","6,60"
SWB_00004,01.12.2007,"38,60","7,40","31,20"
SWB_00004,01.01.2008,"25,00","3,60","21,40"
SWB_00004,01.02.2008,"27,10","9,50","17,60"
SWB_00004,01.03.2008,"16,10","23,30","-7,20"
SWB_00004,01.04.2008,"36,60","22,90","13,70"
SWB_00004,01.05.2008,"19,80","26,60","-6,80"
SWB_00004,01.06.2008,"7,00","24,10","-17,10"
SWB_00004,01.07.2008,"7,00","21,60","-14,60"
SWB_00004,01.08.2008,"5,40","16,00","-10,60"
SWB_00004,01.09.2008,"7,80","10,50","-2,70"
SWB_00004,01.10.2008,"20,90","10,50","10,40"
SWB_00004,01.11.2008,"16,10","8,20","7,90"
SWB_00004,01.12.2008,"27,30","7,10","20,20"
SWB_00004,01.01.2009,"28,00","7,80","20,20"
SWB_00004,01.02.2009,"54,30","15,50","38,80"
SWB_00004,01.03.2009,"42,30","25,20","17,10"
SWB_00004,01.04.2009,"61,50","27,50","34,00"
SWB_00004,01.05.2009,"36,50","34,30","2,20"
SWB_00004,01.06.2009,"16,30","25,10","-8,80"
SWB_00004,01.07.2009,"6,00","23,40","-17,40"
SWB_00004,01.08.2009,"4,70","19,30","-14,60"
SWB_00004,01.09.2009,"10,40","14,30","-3,90"
SWB_00004,01.10.2009,"7,70","9,10","-1,40"
SWB_00004,01.11.2009,"30,30","9,70","20,60"
SWB_00004,01.12.2009,"29,60","8,70","20,90"
SWB_00004,01.01.2010,"28,40","10,00","18,40"
SWB_00004,01.02.2010,"57,30","11,40","45,90"
SWB_00004,01.03.2010,"38,00","23,10","14,90"
SWB_00004,01.04.2010,"37,50","26,10","11,40"
SWB_00004,01.05.2010,"42,20","27,90","14,30"
SWB_00004,01.06.2010,"16,50","24,30","-7,80"
SWB_00004,01.07.2010,"9,50","22,30","-12,80"
SWB_00004,01.08.2010,"6,80","18,70","-11,90"
SWB_00004,01.09.2010,"8,30","11,00","-2,70"
SWB_00004,01.10.2010,"11,20","9,10","2,10"
SWB_00004,01.11.2010,"7,40","6,70","0,70"
SWB_00004,01.12.2010,"6,20","6,30","-0,10"
SWB_00004,01.01.2011,"16,70","7,80","8,90"
SWB_00004,01.02.2011,"48,40","10,30","38,10"
SWB_00004,01.03.2011,"28,90","18,90","10,00"
SWB_00004,01.04.2011,"23,50","22,90","0,60"
SWB_00004,01.05.2011,"22,50","25,20","-2,70"
SWB_00004,01.06.2011,"7,10","22,20","-15,10"
SWB_00004,01.07.2011,"3,50","19,60","-16,10"
SWB_00004,01.08.2011,"3,90","16,50","-12,60"
SWB_00004,01.09.2011,"4,70","10,30","-5,60"
SWB_00004,01.10.2011,"27,60","10,50","17,10"
SWB_00004,01.11.2011,"47,50","8,50","39,00"
SWB_00004,01.12.2011,"17,70","5,90","11,80"
SWB_00004,01.01.2012,"26,00","7,60","18,40"
SWB_00004,01.02.2012,"38,30","9,20","29,10"
SWB_00004,01.03.2012,"57,00","20,30","36,70"
SWB_00004,01.04.2012,"25,90","23,70","2,20"
SWB_00004,01.05.2012,"28,70","27,80","0,90"
SWB_00004,01.06.2012,"11,00","26,50","-15,50"
SWB_00004,01.07.2012,"6,60","25,30","-18,70"
SWB_00004,01.08.2012,"4,60","19,20","-14,60"
SWB_00004,01.09.2012,"6,20","10,30","-4,10"
SWB_00004,01.10.2012,"9,30","8,60","0,70"
SWB_00004,01.11.2012,"18,80","7,30","11,50"
SWB_00004,01.12.2012,"29,60","8,20","21,40"
SWB_00004,01.01.2013,"29,80","11,90","17,90"
SWB_00004,01.02.2013,"33,00","12,30","20,70"
SWB_00004,01.03.2013,"45,10","22,90","22,20"
SWB_00004,01.04.2013,"39,60","25,00","14,60"
