WATERSHED_ID,Date,SM(0-100 cm),SM(0-289 cm)
SWB_00004,01.01.2000,"67,60","155,47"
SWB_00004,01.02.2000,"69,23","156,82"
SWB_00004,01.03.2000,"67,87","156,02"
SWB_00004,01.04.2000,"67,52","156,30"
SWB_00004,01.05.2000,"66,25","156,12"
SWB_00004,01.06.2000,"63,91","154,39"
SWB_00004,01.07.2000,"61,82","152,46"
SWB_00004,01.08.2000,"61,13","151,45"
SWB_00004,01.09.2000,"59,90","149,99"
SWB_00004,01.10.2000,"61,64","151,20"
SWB_00004,01.11.2000,"62,10","151,36"
SWB_00004,01.12.2000,"65,62","153,91"
SWB_00004,01.01.2001,"66,76","154,76"
SWB_00004,01.02.2001,"68,43","156,09"
SWB_00004,01.03.2001,"67,59","155,69"
SWB_00004,01.04.2001,"67,75","156,31"
SWB_00004,01.05.2001,"66,77","156,42"
SWB_00004,01.06.2001,"64,54","154,89"
SWB_00004,01.07.2001,"62,45","152,97"
SWB_00004,01.08.2001,"61,22","151,56"
SWB_00004,01.09.2001,"60,58","150,59"
SWB_00004,01.10.2001,"60,61","150,22"
SWB_00004,01.11.2001,"63,38","152,05"
SWB_00004,01.12.2001,"66,92","154,61"
SWB_00004,01.01.2002,"68,99","156,24"
SWB_00004,01.02.2002,"71,37","158,29"
SWB_00004,01.03.2002,"72,09","159,46"
SWB_00004,01.04.2002,"75,84","163,55"
SWB_00004,01.05.2002,"75,22","165,13"
SWB_00004,01.06.2002,"70,58","162,50"
SWB_00004,01.07.2002,"66,90","159,37"
SWB_00004,01.08.2002,"65,11","157,36"
SWB_00004,01.09.2002,"64,48","156,23"
SWB_00004,01.10.2002,"63,23","154,92"
SWB_00004,01.11.2002,"62,90","154,26"
SWB_00004,01.12.2002,"65,46","155,94"
SWB_00004,01.01.2003,"67,99","157,73"
SWB_00004,01.02.2003,"71,24","160,19"
SWB_00004,01.03.2003,"76,82","165,13"
SWB_00004,01.04.2003,"78,50","168,39"
SWB_00004,01.05.2003,"76,65","168,52"
SWB_00004,01.06.2003,"73,19","166,61"
SWB_00004,01.07.2003,"67,54","161,84"
SWB_00004,01.08.2003,"65,24","159,20"
SWB_00004,01.09.2003,"64,62","157,92"
SWB_00004,01.10.2003,"64,51","157,27"
SWB_00004,01.11.2003,"68,34","159,72"
SWB_00004,01.12.2003,"71,11","161,59"
SWB_00004,01.01.2004,"76,02","165,39"
SWB_00004,01.02.2004,"76,31","166,13"
SWB_00004,01.03.2004,"75,34","165,87"
SWB_00004,01.04.2004,"76,28","167,34"
SWB_00004,01.05.2004,"74,36","166,78"
SWB_00004,01.06.2004,"71,59","164,97"
SWB_00004,01.07.2004,"70,05","163,37"
SWB_00004,01.08.2004,"68,18","161,43"
SWB_00004,01.09.2004,"67,05","159,97"
SWB_00004,01.10.2004,"65,74","158,48"
SWB_00004,01.11.2004,"66,63","158,72"
SWB_00004,01.12.2004,"72,11","162,68"
SWB_00004,01.01.2005,"76,03","165,81"
SWB_00004,01.02.2005,"77,74","167,52"
SWB_00004,01.03.2005,"77,79","168,28"
SWB_00004,01.04.2005,"76,13","168,16"
SWB_00004,01.05.2005,"75,29","168,35"
SWB_00004,01.06.2005,"72,87","167,07"
SWB_00004,01.07.2005,"69,68","164,21"
SWB_00004,01.08.2005,"67,43","161,75"
SWB_00004,01.09.2005,"65,87","159,78"
SWB_00004,01.10.2005,"64,77","158,25"
SWB_00004,01.11.2005,"64,88","157,82"
SWB_00004,01.12.2005,"66,21","158,47"
SWB_00004,01.01.2006,"69,47","160,72"
SWB_00004,01.02.2006,"73,81","164,14"
SWB_00004,01.03.2006,"73,39","164,36"
SWB_00004,01.04.2006,"72,83","164,51"
SWB_00004,01.05.2006,"71,33","164,11"
SWB_00004,01.06.2006,"68,21","161,72"
SWB_00004,01.07.2006,"66,17","159,52"
SWB_00004,01.08.2006,"65,05","157,88"
SWB_00004,01.09.2006,"64,12","156,46"
SWB_00004,01.10.2006,"63,70","155,69"
SWB_00004,01.11.2006,"66,13","157,12"
SWB_00004,01.12.2006,"69,56","159,50"
SWB_00004,01.01.2007,"71,66","161,06"
SWB_00004,01.02.2007,"71,72","161,18"
SWB_00004,01.03.2007,"74,04","163,21"
SWB_00004,01.04.2007,"76,91","166,89"
SWB_00004,01.05.2007,"74,48","166,42"
SWB_00004,01.06.2007,"71,19","164,28"
SWB_00004,01.07.2007,"68,53","161,89"
SWB_00004,01.08.2007,"67,46","160,45"
SWB_00004,01.09.2007,"66,86","159,40"
SWB_00004,01.10.2007,"65,80","158,12"
SWB_00004,01.11.2007,"65,07","157,15"
SWB_00004,01.12.2007,"69,83","160,47"
SWB_00004,01.01.2008,"72,40","162,14"
SWB_00004,01.02.2008,"74,64","163,99"
SWB_00004,01.03.2008,"73,64","163,75"
SWB_00004,01.04.2008,"72,94","163,91"
SWB_00004,01.05.2008,"71,83","163,74"
SWB_00004,01.06.2008,"69,30","161,89"
SWB_00004,01.07.2008,"66,70","159,33"
SWB_00004,01.08.2008,"65,38","157,64"
SWB_00004,01.09.2008,"65,85","157,37"
SWB_00004,01.10.2008,"65,68","156,80"
SWB_00004,01.11.2008,"67,51","157,90"
SWB_00004,01.12.2008,"67,52","157,76"
SWB_00004,01.01.2009,"70,42","159,90"
SWB_00004,01.02.2009,"73,73","162,54"
SWB_00004,01.03.2009,"76,11","165,17"
SWB_00004,01.04.2009,"78,02","167,93"
SWB_00004,01.05.2009,"78,04","169,86"
SWB_00004,01.06.2009,"74,44","168,21"
SWB_00004,01.07.2009,"71,73","166,01"
SWB_00004,01.08.2009,"68,47","162,88"
SWB_00004,01.09.2009,"68,06","161,80"
SWB_00004,01.10.2009,"67,08","160,49"
SWB_00004,01.11.2009,"68,71","161,27"
SWB_00004,01.12.2009,"73,29","164,47"
SWB_00004,01.01.2010,"67,15","146,01"
SWB_00004,01.02.2010,"71,00","149,11"
SWB_00004,01.03.2010,"73,67","152,12"
SWB_00004,01.04.2010,"72,97","152,94"
SWB_00004,01.05.2010,"72,83","154,52"
SWB_00004,01.06.2010,"69,72","152,98"
SWB_00004,01.07.2010,"67,20","150,96"
SWB_00004,01.08.2010,"65,63","149,38"
SWB_00004,01.09.2010,"63,72","147,51"
SWB_00004,01.10.2010,"62,75","146,39"
SWB_00004,01.11.2010,"61,82","145,42"
SWB_00004,01.12.2010,"60,85","144,49"
SWB_00004,01.01.2011,"62,77","145,82"
SWB_00004,01.02.2011,"66,59","148,70"
SWB_00004,01.03.2011,"67,15","149,34"
SWB_00004,01.04.2011,"66,90","149,70"
SWB_00004,01.05.2011,"65,93","149,51"
SWB_00004,01.06.2011,"63,35","147,66"
SWB_00004,01.07.2011,"60,56","145,20"
SWB_00004,01.08.2011,"58,22","142,79"
SWB_00004,01.09.2011,"57,93","141,92"
SWB_00004,01.10.2011,"58,13","141,61"
SWB_00004,01.11.2011,"63,36","145,33"
SWB_00004,01.12.2011,"67,14","148,39"
SWB_00004,01.01.2012,"68,61","149,77"
SWB_00004,01.02.2012,"70,81","151,78"
SWB_00004,01.03.2012,"72,45","153,66"
SWB_00004,01.04.2012,"70,52","153,64"
SWB_00004,01.05.2012,"70,90","155,45"
SWB_00004,01.06.2012,"68,50","154,55"
SWB_00004,01.07.2012,"65,63","152,35"
SWB_00004,01.08.2012,"63,36","150,05"
SWB_00004,01.09.2012,"61,67","148,13"
